00,14486
01,13853
02,14658
03,13182
04,12719
05,11349
06,10092
07,9286
08,8410
09,7974
10,8174
11,8624
12,10047
13,12970
14,14820
15,16497
16,18041
17,17188
18,16969
19,17488
20,18870
21,18138
22,16566
23,17017
